42:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 2, 'reward_penalty': 0.001, 'step_sampling': True}, 'top1': 0.15, 'top2': 0.475}
43:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 2, 'reward_penalty': 0.001, 'step_sampling': False}, 'top1': 0.115, 'top2': 0.51}
44:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 2, 'reward_penalty': 0.005, 'step_sampling': True}, 'top1': 0.12, 'top2': 0.43}
45:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 2, 'reward_penalty': 0.005, 'step_sampling': False}, 'top1': 0.11, 'top2': 0.41}
46:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 2, 'reward_penalty': 0.1, 'step_sampling': True}, 'top1': 0.105, 'top2': 0.395}
47:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 2, 'reward_penalty': 0.1, 'step_sampling': False}, 'top1': 0.135, 'top2': 0.435}
48:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 0, 'reward_penalty': 0.001, 'step_sampling': True}, 'top1': 0.335, 'top2': 0.825}
49:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 0, 'reward_penalty': 0.001, 'step_sampling': False}, 'top1': 0.385, 'top2': 0.85}
50:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 0, 'reward_penalty': 0.005, 'step_sampling': True}, 'top1': 0.39, 'top2': 0.835}
51:{'seed': 42, 'params': {'BATCH_SIZE': 50, 'EPS_DECAY': 200, 'EPS_END': 0.05, 'EPS_START': 0.9, 'GAMMA': 0.99, 'TARGET_UPDATE': 5, 'naction_ending': 5, 'offline_max_remove_data_perc': 0.1, 'offline_max_remove_network': 0, 'reward_penalty': 0.005, 'step_sampling': False}, 'top1': 0.35, 'top2': 0.81}
